Destination,Start,Stop,CCY,Rate,Change Type,Number Prefixes
AUSTRALIA,12-Apr-19,,USD,0.0104,-,61
AUSTRALIA Adelaide,12-Apr-19,,USD,0.0111,-,61870
AUSTRALIA Adelaide,12-Apr-19,,USD,0.0111,-,61871
AUSTRALIA Adelaide,12-Apr-19,,USD,0.0111,-,61872
AUSTRALIA Adelaide,12-Apr-19,,USD,0.0111,-,61873
AUSTRALIA Adelaide,12-Apr-19,,USD,0.0111,-,61874
AUSTRALIA Adelaide,12-Apr-19,,USD,0.0111,-,61881
AUSTRALIA Adelaide,12-Apr-19,,USD,0.0111,-,61882
AUSTRALIA Adelaide,12-Apr-19,,USD,0.0111,-,61883
AUSTRALIA Adelaide,12-Apr-19,,USD,0.0111,-,61884
AUSTRALIA Brisbane,12-Apr-19,,USD,0.0111,-,6173
AUSTRALIA Canberra,12-Apr-19,,USD,0.0111,-,61261
AUSTRALIA Canberra,12-Apr-19,,USD,0.0111,-,61262
AUSTRALIA Code 61+13,12-Apr-19,,USD,0.0111,-,6113
AUSTRALIA Domestic Freeph,13-Nov-17,,USD,0.0014,-,6115
AUSTRALIA Domestic Freeph,13-Nov-17,,USD,0.0014,-,6116
AUSTRALIA Domestic Freeph,13-Nov-17,,USD,0.0014,-,6117
AUSTRALIA Domestic Freeph,13-Nov-17,,USD,0.0014,-,6118
AUSTRALIA Domestic Freeph,13-Nov-17,,USD,0.0014,-,6119
AUSTRALIA Hobart,15-Jul-19,,USD,0.0183,I,61362
AUSTRALIA Melbourne,12-Apr-19,,USD,0.0111,-,6138
AUSTRALIA Melbourne,12-Apr-19,,USD,0.0111,-,6139
AUSTRALIA Mob Optus Sat,12-Apr-19,,USD,4.5500,-,6114
AUSTRALIA Mobile,12-Apr-19,,USD,0.0260,-,614
AUSTRALIA Perth,13-Nov-17,,USD,0.0117,-,61860
AUSTRALIA Perth,13-Nov-17,,USD,0.0117,-,61861
AUSTRALIA Perth,13-Nov-17,,USD,0.0117,-,61862
AUSTRALIA Perth,13-Nov-17,,USD,0.0117,-,61863
AUSTRALIA Perth,13-Nov-17,,USD,0.0117,-,61864
AUSTRALIA Perth,13-Nov-17,,USD,0.0117,-,61865
AUSTRALIA Perth,13-Nov-17,,USD,0.0117,-,61892
AUSTRALIA Perth,13-Nov-17,,USD,0.0117,-,61893
AUSTRALIA Perth,13-Nov-17,,USD,0.0117,-,61894
AUSTRALIA Sydney,12-Apr-19,,USD,0.0111,-,6127
AUSTRALIA Sydney,12-Apr-19,,USD,0.0111,-,6128
AUSTRALIA Sydney,12-Apr-19,,USD,0.0111,-,6129
BOSNIA HERZ,16-Jul-19,,USD,0.2399,"-,C",387
BOSNIA HERZ Fixed Mostar,16-Jul-19,,USD,0.2126,"-,C",3873049
BOSNIA HERZ Fixed Mostar,16-Jul-19,,USD,0.2126,"-,C",3873063
BOSNIA HERZ Fixed Mostar,16-Jul-19,,USD,0.2126,"-,C",3873064
BOSNIA HERZ Fixed Mostar,16-Jul-19,,USD,0.2126,"-,C",3873065
BOSNIA HERZ Fixed Mostar,16-Jul-19,,USD,0.2126,"-,C",387307
BOSNIA HERZ Fixed Mostar,16-Jul-19,,USD,0.2126,"-,C",3873080
BOSNIA HERZ Fixed Mostar,16-Jul-19,,USD,0.2126,"-,C",3873087
BOSNIA HERZ Fixed Mostar,16-Jul-19,,USD,0.2126,"-,C",387317
BOSNIA HERZ Fixed Mostar,16-Jul-19,,USD,0.2126,"-,C",3873280
BOSNIA HERZ Fixed Mostar,16-Jul-19,,USD,0.2126,"-,C",3873288
BOSNIA HERZ Fixed Mostar,16-Jul-19,,USD,0.2126,"-,C",3873289
