Destination,Country Code,Area Code,Rate,Status,Effective Date
ASCENSION ISLAND,247,,1.945398,No Change,07-Jul-2019
AUSTRALIA,61,,0.012285,No Change,07-Jul-2019
AUSTRALIA - MOBILE,61,4,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE,61,42012,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (GLOBALSTAR SATELLITE),61,42010,0.09555,No Change,07-Jul-2019
AUSTRALIA - MOBILE (GLOBALSTAR SATELLITE),61,4800,0.09555,No Change,07-Jul-2019
AUSTRALIA - MOBILE (GLOBALSTAR SATELLITE),61,4808,0.09555,No Change,07-Jul-2019
AUSTRALIA - MOBILE (GLOBALSTAR SATELLITE),61,4858,0.09555,No Change,07-Jul-2019
AUSTRALIA - MOBILE (GLOBALSTAR SATELLITE),61,4899,0.09555,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS SATELLITE),61,1451,2.8665,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS SATELLITE),61,1452,2.8665,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS SATELLITE),61,1453,2.8665,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,401,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,402,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,403,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,411,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,412,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,413,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,421,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,422,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,423,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,431,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,432,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,434,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,435,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,466,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,4683,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,4684,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,4685,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,4686,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,4687,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,4688,0.04914,No Change,07-Jul-2019
AUSTRALIA - MOBILE (OPTUS),61,4689,0.04914,No Change,07-Jul-2019
