IBIS codes,Destinations,TDE,Calendar,Country Code,Area Code,Price/min,Price Status,Comment,Cli,Start Date,End Date
AUS,Australia,STD,SINT,61,,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,261,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,262,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,27,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,28,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,29,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,38,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,39,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,73,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,860,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,861,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,862,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,863,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,864,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,865,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,870,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,871,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,872,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,873,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,874,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,881,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,882,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,883,0.01200,,,YES,1-May-18,
AUS City Group,Australia City Group,STD,SINT,61,884,0.01200,,,YES,1-May-18,
