Carrier,Prefix,Rate,Destination
C1,61,0.0104,AUSTRALIA
C1,61870,0.0111,AUSTRALIA Adelaide
C1,61871,0.0111,AUSTRALIA Adelaide
C1,61872,0.0111,AUSTRALIA Adelaide
C1,61873,0.0111,AUSTRALIA Adelaide
C1,61874,0.0111,AUSTRALIA Adelaide
C1,61881,0.0111,AUSTRALIA Adelaide
C1,61882,0.0111,AUSTRALIA Adelaide
C1,61883,0.0111,AUSTRALIA Adelaide
C1,61884,0.0111,AUSTRALIA Adelaide
C1,6173,0.0111,AUSTRALIA Brisbane
C1,61261,0.0111,AUSTRALIA Canberra
C1,61262,0.0111,AUSTRALIA Canberra
C1,6113,0.0111,AUSTRALIA Code 61+13
C1,6115,0.0014,AUSTRALIA Domestic Freeph
C1,6116,0.0014,AUSTRALIA Domestic Freeph
C1,6117,0.0014,AUSTRALIA Domestic Freeph
C1,6118,0.0014,AUSTRALIA Domestic Freeph
C1,6119,0.0014,AUSTRALIA Domestic Freeph
C2,61,0.012285,AUSTRALIA
C2,614,0.04914,AUSTRALIA - MOBILE
C2,6142012,0.04914,AUSTRALIA - MOBILE
C2,6142010,0.09555,AUSTRALIA - MOBILE (GLOBALSTAR SATELLITE)
C2,614800,0.09555,AUSTRALIA - MOBILE (GLOBALSTAR SATELLITE)
C2,614808,0.09555,AUSTRALIA - MOBILE (GLOBALSTAR SATELLITE)
C2,614858,0.09555,AUSTRALIA - MOBILE (GLOBALSTAR SATELLITE)
C2,614899,0.09555,AUSTRALIA - MOBILE (GLOBALSTAR SATELLITE)
C2,611451,2.8665,AUSTRALIA - MOBILE (OPTUS SATELLITE)
C2,611452,2.8665,AUSTRALIA - MOBILE (OPTUS SATELLITE)
C2,611453,2.8665,AUSTRALIA - MOBILE (OPTUS SATELLITE)
C2,61401,0.04914,AUSTRALIA - MOBILE (OPTUS)
C2,61402,0.04914,AUSTRALIA - MOBILE (OPTUS)
C2,61403,0.04914,AUSTRALIA - MOBILE (OPTUS)
C2,61411,0.04914,AUSTRALIA - MOBILE (OPTUS)
C2,61412,0.04914,AUSTRALIA - MOBILE (OPTUS)
C2,61413,0.04914,AUSTRALIA - MOBILE (OPTUS)
C2,61421,0.04914,AUSTRALIA - MOBILE (OPTUS)
C2,61422,0.04914,AUSTRALIA - MOBILE (OPTUS)
C2,61423,0.04914,AUSTRALIA - MOBILE (OPTUS)
C3,61,0.012,Australia
C3,6116,0.0405,Australia Mobile
C3,6142,0.0405,Australia Mobile
C3,6146829,0.0405,Australia Mobile
C3,61480,0.0405,Australia Mobile
C3,614858,0.0405,Australia Mobile
C3,614888,0.0405,Australia Mobile
C3,6149150,0.0405,Australia Mobile
C3,6149151,0.0405,Australia Mobile
C3,61401,0.0405,Australia Mobile Optus Mobile
C3,61402,0.0405,Australia Mobile Optus Mobile
C3,61403,0.0405,Australia Mobile Optus Mobile
C3,61411,0.0405,Australia Mobile Optus Mobile
C3,61412,0.0405,Australia Mobile Optus Mobile
C3,61413,0.0405,Australia Mobile Optus Mobile
C3,61421,0.0405,Australia Mobile Optus Mobile
C3,61422,0.0405,Australia Mobile Optus Mobile
C3,61423,0.0405,Australia Mobile Optus Mobile
C3,61431,0.0405,Australia Mobile Optus Mobile
C3,61432,0.0405,Australia Mobile Optus Mobile
